page	type	id	text
1	main_question	1	КОД РЕГИОНА | | | |
1	main_question	2	НОМЕР СЕМЬИ | | | | |
1	main_question	3	НОМЕР ЧЛЕНА СЕМЬИ | | |
1	main_question	4	РЕСПОНДЕНТ РАНЕЕ УЧАСТВОВАЛ(А) В ИССЛЕДОВАНИИ? ДА 1 В ПОСЛЕДНИЙ РАЗ ОСЕНЬЮ ГОДА НЕТ
1	main_question	5	ПОЛ РЕСПОНДЕНТА:
1	main_question	6	ДАТА ПРОВЕДЕНИЯ ИНТЕРВЬЮ: ЧИСЛО | | | МЕСЯЦ | | |
1	main_question	7	ИНТЕРВЬЮ ПРОДОЛЖАЛОСЬ: | | ЧАСОВ | | | МИНУТ
1	main_question	8	ФАМИЛИЯ ИНТЕРВЬЮЕРА
1	main_question	9	НОМЕР ИНТЕРВЬЮЕРА | | | |
3	main_question	1	Скажите, пожалуйста, Вы родились в другом населённом пункте или в том, где живёте сейчас?
3	main_question	2	В какой стране, бывшей республике СССР Вы родились?
3	main_question	3	Вы родились в городе, посёлке городского типа или в селе, деревне, кишлаке, ауле? РЕСПОНДЕНТА
3	main_question	4	С какого года Вы живете в данном населенном пункте? С | | | | | ГОДА
3	main_question	5	С какого года Вы постоянно живете в Российской Федерации? С | | | | | ГОДА
3	main_question	6	Вы жили в каком-нибудь другом населённом пункте - не в том, где Вы родились - более чем 6 месяцев подряд после того, как Вам исполнилось 14 лет, включая учёбу, службу в армии и прочее?
3	main_question	7	Кем Вы себя считаете по национальности?
4	coded_subquestion	CCJ1.1.10	Соотношением между временем, которое Вы тратите на работу, и временем, которое занимают
4	main_question	1	Давайте поговорим о Вашем основном занятии в настоящее время. Скажите, пожалуйста,…
4	main_question	2	Насколько Вы удовлетворены или не удовлетворены…? ПОЛ- СКОРЕЕ СКОРЕЕ СОВСЕМ НОСТЬЮ УДОВ- И ДА, НЕ НЕ УДОВ- УДОВЛЕТ- ЛЕТВО- И УДОВЛЕТ- ЛЕТВО- ОТ- ВОРЕНЫ РЕНЫ НЕТ ВОРЕНЫ РЕНЫ З/О КАЗ
4	main_question	3	Давайте поговорим о Вашей основной работе. Если Вы заняты на нескольких работах, расскажите о той, которую Вы считаете основной. Расскажите, пожалуйста, подробно - на какой должности, по какой профессии и по какой специальности Вы сейчас работаете? Назовите, пожалуйста, должность, на которой Вы сейчас работаете
5	main_question	4	Что Вы в основном делаете на этой работе, что входит в Ваши основные обязанности?
5	main_question	6	В какой отрасли Вы работаете на этой работе?
5	main_question	7	С какого года и месяца Вы работаете на этом предприятии, на этой работе? Если Вы увольнялись и снова возвращались на это же предприятие, на эту работу, то назовите дату последнего возвращения С | | | | | ГОДА | | | НОМЕР МЕСЯЦА
6	main_question	10	Сколько у Вас подчинённых? Пожалуйста, посчитайте всех Ваших подчинённых, а не только тех, кто находится в Вашем непосредственном подчинении ЧЕЛОВЕК
6	main_question	11	Сколько в среднем продолжается Ваш обычный рабочий день на этой работе? ЧАСОВ МИНУТ
6	main_question	12	А сколько часов в среднем продолжается Ваша обычная рабочая неделя? ЧАСОВ
6	main_question	8	Как Вы нашли эту Вашу основную работу?
6	main_question	9	У Вас есть подчинённые на этой работе?
7	main_question	13	На этой работе где Вы проводите основную часть рабочего времени? РАБОТАЕТЕ НА ПОСТОЯННОМ РАБОЧЕМ МЕСТЕ, ВНУТРИ ИЛИ ВНЕ ПОМЕЩЕНИЯ,
7	main_question	14	Какой режим работы Вы бы выбрали, если бы у Вас была такая возможность?
7	main_question	15	Как часто Вам приходится работать поздно вечером или ночью, то есть с 9 часов вечера до 6 часов утра?
7	main_question	16	Как часто Вам приходится работать в субботу, воскресенье или праздничные дни?
7	main_question	17	Вы работали по основному месту работы в течение последних 30 дней?
7	main_question	18	Сколько всего рабочих дней было у Вас за последние 30 дней? ДНЕЙ
8	main_question	19	Сколько часов Вы фактически отработали по основному месту работы в течение последних 30 дней? ЧАСОВ
8	main_question	20	Вы работали по основной работе дома в течение последних 30 дней?
8	main_question	21	Сколько часов Вы фактически занимались этой работой дома в течение последних 30 дней? ЧАСОВ
8	main_question	22	Вы учитывали эти часы, когда называли общую продолжительность рабочего времени за последние 30 дней?
8	main_question	23	По основному месту работы в течение последних 30 дней Вы получили какую-нибудь сумму денег в качестве зарплаты, премии, дотаций, пособий, доходов, прибыли?
8	main_question	24	Сколько денег в течение последних 30 дней Вы получили по основному месту работы после вычета налогов и отчислений? Если всё или часть денег Вы получили в иностранной валюте, переведите валюту в рубли и назовите, пожалуйста, общую сумму РУБЛЕЙ
8	main_question	25	Как Вы думаете, все ли эти деньги были проведены официально?
