page	type	code	text
1	answer_block_for_question	5	МУЖСКОЙ 1 | ЖЕНСКИЙ 2
1	option_line	1	МУЖСКОЙ
3	answer_block_for_question	1	В ДРУГОМ НАСЕЛЁННОМ ПУНКТЕ 1 | В ТОМ, ГДЕ ЖИВЁТ СЕЙЧАС 2 | З/О 7 | ОТКАЗ 8
3	answer_block_for_question	2	РОССИЯ 01 | ЛИТВА 10 | УКРАИНА 02 | МОЛДАВИЯ 11 | БЕЛОРУССИЯ 03 | ТАДЖИКИСТАН 12 | АЗЕРБАЙДЖАН 04 | ТУРКМЕНИЯ 13 | АРМЕНИЯ 05 | УЗБЕКИСТАН 14 | ГРУЗИЯ 06 | ЭСТОНИЯ 15 | КАЗАХСТАН 07 | ДРУГАЯ СТРАНА 16 | КИРГИЗИЯ 08 | З/О 97 | ЛАТВИЯ 09 | ОТКАЗ 98
3	answer_block_for_question	3	В ГОРОДЕ 1 | В ПОСЁЛКЕ ГОРОДСКОГО ТИПА 2 | В СЕЛЕ, ДЕРЕВНЕ, КИШЛАКЕ, АУЛЕ 3 | З/О 7 | ОТКАЗ 8
3	answer_block_for_question	4	З/О 9997 | ОТКАЗ 9998
3	answer_block_for_question	5	С РОЖДЕНИЯ 9996 | З/О 9997 | ОТКАЗ 9998
3	answer_block_for_question	6	Да 1 | Нет 2 | З/О 7 | ОТКАЗ 8
3	answer_block_for_question	7	РУССКИМ/РУССКОЙ 1 | З/О 997 | ОТКАЗ 998
3	option_line	01	РОССИЯ
3	option_line	02	УКРАИНА
3	option_line	03	БЕЛОРУССИЯ
3	option_line	04	АЗЕРБАЙДЖАН
3	option_line	05	АРМЕНИЯ
3	option_line	06	ГРУЗИЯ
3	option_line	07	КАЗАХСТАН
3	option_line	08	КИРГИЗИЯ
3	option_line	09	ЛАТВИЯ
3	option_line	1	В ГОРОДЕ
3	option_line	1	В ДРУГОМ НАСЕЛЁННОМ ПУНКТЕ
3	option_line	1	Да
3	option_line	1	РУССКИМ/РУССКОЙ
3	option_line	10	ЛИТВА
3	option_line	11	МОЛДАВИЯ
3	option_line	12	ТАДЖИКИСТАН
3	option_line	13	ТУРКМЕНИЯ
3	option_line	14	УЗБЕКИСТАН
3	option_line	15	ЭСТОНИЯ
3	option_line	16	ДРУГАЯ СТРАНА
3	option_line	2	В ПОСЁЛКЕ ГОРОДСКОГО ТИПА
3	option_line	2	В ТОМ, ГДЕ ЖИВЁТ СЕЙЧАС
3	option_line	2	Нет
3	option_line	3	В СЕЛЕ, ДЕРЕВНЕ, КИШЛАКЕ, АУЛЕ
3	option_line	7	З/О
3	option_line	8	ОТКАЗ
3	option_line	97	З/О
3	option_line	98	ОТКАЗ
3	option_line	997	З/О
3	option_line	998	ОТКАЗ
3	option_line	9996	С РОЖДЕНИЯ
3	option_line	9997	З/О
3	option_line	9998	ОТКАЗ
4	answer_block_for_question	1	Вы сейчас работаете 1 | Вы находитесь в отпуске - декретном или | по уходу за ребёнком до 3-х лет 2 | Вы находитесь в любом другом | оплачиваемом отпуске 3 | Вы находитесь в неоплачиваемом отпуске 4 | Или у Вас сейчас нет работы 5 | З/О 7 | ОТКАЗ 8
4	answer_block_for_question	2	Вашей работой в целом 1 2 3 4 5 7 8 | Условиями Вашего труда 1 2 3 4 5 7 8 | Оплатой Вашего труда 1 2 3 4 5 7 8 | Возможностями для Вашего | профессионального роста 1 2 3 4 5 7 8 | Продолжительностью рабочего дня 1 2 3 4 5 7 8 | Соответствием имеющейся работы | Вашему уровню квалификации 1 2 3 4 5 7 8 | Графиком работы 1 2 3 4 5 7 8 | которое Вы тратите на работу, | и временем, которое занимают | другие стороны Вашей жизни 1 2 3 4 5 7 8
4	answer_block_for_question	3	З/О 7 | ОТКАЗ 8 | Профессию, по которой Вы сейчас работаете | З/О 7 | ОТКАЗ 8 | Специальность, по которой Вы сейчас работаете | З/О 7 | ОТКАЗ 8
4	option_line	1	Вы сейчас работаете
4	option_line	2	по уходу за ребёнком до 3-х лет
4	option_line	3	оплачиваемом отпуске
4	option_line	4	Вы находитесь в неоплачиваемом отпуске
4	option_line	5	Или у Вас сейчас нет работы
4	option_line	8	Вашей работой в целом 1 2 3 4 5 7
4	option_line	8	Вашему уровню квалификации 1 2 3 4 5 7
4	option_line	8	Графиком работы 1 2 3 4 5 7
4	option_line	8	Оплатой Вашего труда 1 2 3 4 5 7
4	option_line	8	Продолжительностью рабочего дня 1 2 3 4 5 7
4	option_line	8	Условиями Вашего труда 1 2 3 4 5 7
4	option_line	8	другие стороны Вашей жизни 1 2 3 4 5 7
4	option_line	8	профессионального роста 1 2 3 4 5 7
5	answer_block_for_question	4	З/О 7 | ОТКАЗ 8
5	answer_block_for_question	6	ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ 01 | ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ 02 | ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС 03 | НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ 04 | ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ 05 | СТРОИТЕЛЬСТВО 06 | ТРАНСПОРТ, СВЯЗЬ 07 | СЕЛЬСКОЕ ХОЗЯЙСТВО 08 | ОРГАНЫ УПРАВЛЕНИЯ 09 | ОБРАЗОВАНИЕ 10 | НАУКА, КУЛЬТУРА 11 | ЗДРАВООХРАНЕНИЕ 12 | АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ 13 | ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ 14 | ФИНАНСЫ И СТРАХОВАНИЕ 15 | ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ 16 | ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО 17 | ОПЕРАЦИИ С НЕДВИЖИМОСТЬЮ 18 | ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ 27 | ДРУГОЕ 19 | ИНТЕРВЬЮЕР! ЗАПИШИТЕ | З/О 97 | ОТКАЗ 98
5	answer_block_for_question	7	З/О 9997 | З/О 97 | ОТКАЗ 9998 | ОТКАЗ 98
5	option_line	01	ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ
5	option_line	02	ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ
5	option_line	03	ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС
5	option_line	04	НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ
5	option_line	05	ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ
5	option_line	06	СТРОИТЕЛЬСТВО
5	option_line	07	ТРАНСПОРТ, СВЯЗЬ
5	option_line	08	СЕЛЬСКОЕ ХОЗЯЙСТВО
5	option_line	09	ОРГАНЫ УПРАВЛЕНИЯ
5	option_line	10	ОБРАЗОВАНИЕ
5	option_line	11	НАУКА, КУЛЬТУРА
5	option_line	12	ЗДРАВООХРАНЕНИЕ
5	option_line	13	АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ
5	option_line	14	ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ
5	option_line	15	ФИНАНСЫ И СТРАХОВАНИЕ
5	option_line	16	ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ
5	option_line	17	ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО
5	option_line	18	ОПЕРАЦИИ С НЕДВИЖИМОСТЬЮ
5	option_line	19	ДРУГОЕ
5	option_line	27	ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ
6	answer_block_for_question	10	З/О 9997 | ОТКАЗ 9998
